Name	Categories	Path
================================================================================
Adwaita Mono	mono	/usr/share/fonts/Adwaita/AdwaitaMono-Italic.ttf
Adwaita Mono	mono	/usr/share/fonts/Adwaita/AdwaitaMono-BoldItalic.ttf
Adwaita Mono	mono	/usr/share/fonts/Adwaita/AdwaitaMono-Regular.ttf
Adwaita Mono	mono	/usr/share/fonts/Adwaita/AdwaitaMono-Bold.ttf
Adwaita Sans	sans	/usr/share/fonts/Adwaita/AdwaitaSans-Regular.ttf
Adwaita Sans	sans	/usr/share/fonts/Adwaita/AdwaitaSans-Italic.ttf
Anonymous Pro for Powerline	other	/home/snow/.local/share/fonts/Anonymice Powerline Bold Italic.ttf
Anonymous Pro for Powerline	other	/home/snow/.local/share/fonts/Anonymice Powerline Italic.ttf
Anonymous Pro for Powerline	other	/home/snow/.local/share/fonts/Anonymice Powerline Bold.ttf
Anonymous Pro for Powerline	other	/home/snow/.local/share/fonts/Anonymice Powerline.ttf
Arimo for Powerline	other	/home/snow/.local/share/fonts/Arimo for Powerline.ttf
Arimo for Powerline	other	/home/snow/.local/share/fonts/Arimo Bold for Powerline.ttf
Arimo for Powerline	other	/home/snow/.local/share/fonts/Arimo Bold Italic for Powerline.ttf
Arimo for Powerline	other	/home/snow/.local/share/fonts/Arimo Italic for Powerline.ttf
C059	other	/usr/share/fonts/gsfonts/C059-Roman.otf
C059	other	/usr/share/fonts/gsfonts/C059-BdIta.otf
C059	other	/usr/share/fonts/gsfonts/C059-Italic.otf
C059	other	/usr/share/fonts/gsfonts/C059-Bold.otf
Cousine for Powerline	other	/home/snow/.local/share/fonts/Cousine for Powerline.ttf
Cousine for Powerline	other	/home/snow/.local/share/fonts/Cousine Italic for Powerline.ttf
Cousine for Powerline	other	/home/snow/.local/share/fonts/Cousine Bold Italic for Powerline.ttf
Cousine for Powerline	other	/home/snow/.local/share/fonts/Cousine Bold for Powerline.ttf
CPMono_v07	mono	/home/snow/.local/share/fonts/CPMono_v07 Light.otf
CPMono_v07	mono	/home/snow/.local/share/fonts/CPMono_v07 ExtraLight.otf
CPMono_v07	mono	/home/snow/.local/share/fonts/CPMono_v07 Black.otf
CPMono_v07	mono	/home/snow/.local/share/fonts/CPMono_v07 Plain.otf
CPMono_v07	mono	/home/snow/.local/share/fonts/CPMono_v07 Bold.otf
CustomTkinter_shapes_font	other	/home/snow/.fonts/CustomTkinter_shapes_font.otf
D050000L	other	/usr/share/fonts/gsfonts/D050000L.otf
DejaVu Sans Mono for Powerline	mono,sans	/home/snow/.local/share/fonts/DejaVu Sans Mono Oblique for Powerline.ttf
DejaVu Sans Mono for Powerline	mono,sans	/home/snow/.local/share/fonts/DejaVu Sans Mono Bold for Powerline.ttf
DejaVu Sans Mono for Powerline	mono,sans	/home/snow/.local/share/fonts/DejaVu Sans Mono for Powerline.ttf
DejaVu Sans Mono for Powerline	mono,sans	/home/snow/.local/share/fonts/DejaVu Sans Mono Bold Oblique for Powerline.ttf
Droid Sans Mono Dotted for Powerline	mono,sans	/home/snow/.local/share/fonts/Droid Sans Mono Dotted for Powerline.ttf
Droid Sans Mono for Powerline	mono,sans	/home/snow/.local/share/fonts/Droid Sans Mono for Powerline.otf
Droid Sans Mono Slashed for Powerline	mono,sans	/home/snow/.local/share/fonts/Droid Sans Mono Slashed for Powerline.ttf
Fira Mono for Powerline	mono	/home/snow/.local/share/fonts/FuraMono-Medium Powerline.otf
Fira Mono for Powerline	mono	/home/snow/.local/share/fonts/FuraMono-Regular Powerline.otf
Fira Mono for Powerline	mono	/home/snow/.local/share/fonts/FuraMono-Bold Powerline.otf
Go Mono for Powerline	mono	/home/snow/.local/share/fonts/Go Mono Bold Italic for Powerline.ttf
Go Mono for Powerline	mono	/home/snow/.local/share/fonts/Go Mono Bold for Powerline.ttf
Go Mono for Powerline	mono	/home/snow/.local/share/fonts/Go Mono Italic for Powerline.ttf
Go Mono for Powerline	mono	/home/snow/.local/share/fonts/Go Mono for Powerline.ttf
Hack	other	/home/snow/.local/share/fonts/Hack-Italic.ttf
Hack	other	/home/snow/.local/share/fonts/Hack-Bold.ttf
Hack	other	/home/snow/.local/share/fonts/Hack-Regular.ttf
Hack	other	/home/snow/.local/share/fonts/Hack-BoldItalic.ttf
IBM 3270	other	/home/snow/.local/share/fonts/3270-Regular.ttf
IBM 3270 Condensed	other	/home/snow/.local/share/fonts/3270Condensed-Regular.ttf
IBM 3270 Semi-Condensed	other	/home/snow/.local/share/fonts/3270SemiCondensed-Regular.ttf
Inconsolata for Powerline	other	/home/snow/.local/share/fonts/Inconsolata Bold for Powerline.ttf
Inconsolata for Powerline	other	/home/snow/.local/share/fonts/Inconsolata for Powerline.otf
Inconsolata-dz for Powerline	other	/home/snow/.local/share/fonts/Inconsolata-dz for Powerline.otf
Inconsolata-g for Powerline	other	/home/snow/.local/share/fonts/Inconsolata-g for Powerline.otf
Liberation Mono	mono	/usr/share/fonts/liberation/LiberationMono-Regular.ttf
Liberation Mono	mono	/usr/share/fonts/liberation/LiberationMono-BoldItalic.ttf
Liberation Mono	mono	/usr/share/fonts/liberation/LiberationMono-Italic.ttf
Liberation Mono	mono	/usr/share/fonts/liberation/LiberationMono-Bold.ttf
Liberation Mono for Powerline	mono	/home/snow/.local/share/fonts/Literation Mono Powerline.ttf
Liberation Mono for Powerline	mono	/home/snow/.local/share/fonts/Literation Mono Powerline Italic.ttf
Liberation Mono for Powerline	mono	/home/snow/.local/share/fonts/Literation Mono Powerline Bold.ttf
Liberation Mono for Powerline	mono	/home/snow/.local/share/fonts/Literation Mono Powerline Bold Italic.ttf
Liberation Sans	sans	/usr/share/fonts/liberation/LiberationSans-Bold.ttf
Liberation Sans	sans	/usr/share/fonts/liberation/LiberationSans-Regular.ttf
Liberation Sans	sans	/usr/share/fonts/liberation/LiberationSans-BoldItalic.ttf
Liberation Sans	sans	/usr/share/fonts/liberation/LiberationSans-Italic.ttf
Liberation Serif	serif	/usr/share/fonts/liberation/LiberationSerif-BoldItalic.ttf
Liberation Serif	serif	/usr/share/fonts/liberation/LiberationSerif-Italic.ttf
Liberation Serif	serif	/usr/share/fonts/liberation/LiberationSerif-Bold.ttf
Liberation Serif	serif	/usr/share/fonts/liberation/LiberationSerif-Regular.ttf
Meslo LG L DZ for Powerline	other	/home/snow/.local/share/fonts/Meslo LG L DZ Bold Italic for Powerline.ttf
Meslo LG L DZ for Powerline	other	/home/snow/.local/share/fonts/Meslo LG L DZ Regular for Powerline.ttf
Meslo LG L DZ for Powerline	other	/home/snow/.local/share/fonts/Meslo LG L DZ Bold for Powerline.ttf
Meslo LG L DZ for Powerline	other	/home/snow/.local/share/fonts/Meslo LG L DZ Italic for Powerline.ttf
Meslo LG L for Powerline	other	/home/snow/.local/share/fonts/Meslo LG L Bold for Powerline.ttf
Meslo LG L for Powerline	other	/home/snow/.local/share/fonts/Meslo LG L Regular for Powerline.ttf
Meslo LG L for Powerline	other	/home/snow/.local/share/fonts/Meslo LG L Bold Italic for Powerline.ttf
Meslo LG L for Powerline	other	/home/snow/.local/share/fonts/Meslo LG L Italic for Powerline.ttf
Meslo LG M DZ for Powerline	other	/home/snow/.local/share/fonts/Meslo LG M DZ Bold for Powerline.ttf
Meslo LG M DZ for Powerline	other	/home/snow/.local/share/fonts/Meslo LG M DZ Italic for Powerline.ttf
Meslo LG M DZ for Powerline	other	/home/snow/.local/share/fonts/Meslo LG M DZ Bold Italic for Powerline.ttf
Meslo LG M DZ for Powerline	other	/home/snow/.local/share/fonts/Meslo LG M DZ Regular for Powerline.ttf
